6144969,3377639
3972190,3606169
3010754,2665189
1544687,1153889
1827580,1203127
1658781,1293594
2512289,1999138
1634471,1297700
2173866,992093
1306714,990373
27400594,26694482
1417910,1058575
1902675,1510141
1099769,870772
939866,703028
1388056,1120141
1201423,960410
1101101,864687
2181703,1795262
1483403,818413
4308566,2421592
4205569,1167043
1347669,1099982
1739476,1513938
3513854,3164600
1387895,1158623
1468500,1159463
1354092,1115447
1112605,699040
1112863,898737
993721,767326
1482757,1059031
9812332,7789920
1561303,1248727
8250733,7838309
1503754,935138
3268171,3006500
5478897,5237376
7941709,7676713
23738879,23179416
1006121,767494
1269493,1061045
3091393,881031
2404379,2178145
2770941,2539079
9187635,8955367
2222299,1384828
4443962,4097682
2523632,2303179
3515694,1541167
2555831,1066323
3604929,2321737
24173150,23511874
2420078,1608845
4754392,4428812
936304,730087
1287465,951690
1284678,1034992
1182866,944076
5019565,4784708
2892381,1522473
7226356,6142063
1128236,898395
1263438,1011489
1682287,1427780
1042416,787249
3630526,3404645
901008,677462
984489,769715
2556035,2317191
1108878,879397
1335099,853361
2004907,1710727
1030403,729318
1266329,1013969
1229668,959758
1262035,1011156
1374514,769766
1825761,1558633
1380716,1143212
1952229,1712759
923179,708787
1093888,816092
4579457,4336052
1689555,1446312
4156262,3891762
1824833,1597248
2235532,1963269
1101749,894435
1054034,845967
1134601,919123
9635243,9385024
9199672,8940988
6250671,6015815
1005814,792469
8923608,8678817
1191477,962357
1171400,938252
1123653,909227
1918861,1329254
1063577,841272
1151224,895959
1234875,1016192
2169771,1904076
1129881,905111
1384383,833083
8962012,5752719
1069243,846169
2851466,2581245
1163631,777094
1431586,1228182
1402703,1186965
2228055,2011202
2093816,1039415
1040544,813943
2227377,1976235
1805419,1582167
1104275,884849
1549511,1336439
1166234,953887
2202919,1856758
948475,714081
1428004,1228910
1428004,1228910
1277937,1023378
989158,766894
999939,790757
2143046,1432450
2973443,846564
1321079,1043434
1853509,1621449
1822416,1558476
26137586,25554614
1131850,893861
3529705,3301238
977353,747041
1569029,920877
4485604,4200237
3643610,3422272
1093341,837561
1380244,797804
